archivo,codigo,nombre_planilla,precio_solo_planilla,slug_sugerido,nombre_catalogo,coincidencia,precio_catalogo,revisar,precios_con_accesorios_json
nhp 24.xlsx,c017,OMEGA/lyon  125 Ambar,498,lyon-125-cc-ambar,Lyon 125 cc Ambar,0.824,498,Sí,"{""SPRAY    natural/ negra/blanca"": 872, ""SPRAY ENFUNDADA plata /oro"": 1529, ""CREMA blanca/  negra"": 996, ""CREMA ENFUNDADA plata / oro"": 1585, ""CREMA PREMIUM blanca/negra"": 1058, ""GATILLO MINI trigger negro/blanco"": 1245, ""TAPA CIEGA natural / negra / blanca"": 658, ""difusora aluminio plata / oro"": 678, ""DIFUSORA PLASTICA negra / gris / humo/ blanca"": 652, ""DISK TOP negra / natural"": 662, ""FLIP TOP blanca / natural / negra"": 717, ""tapa ciega aluminio (N022)"": 678}"
nhp 24.xlsx,C032,LYON 125 NEGRO,498,lyon-125-cc-negro,Lyon 125 cc Negro,1.0,498,No,"{""SPRAY    natural/ negra/blanca"": 872, ""SPRAY ENFUNDADA plata /oro"": 1529, ""CREMA blanca/  negra"": 996, ""CREMA ENFUNDADA plata / oro"": 1585, ""CREMA PREMIUM blanca/negra"": 1058, ""GATILLO MINI trigger negro/blanco"": 1245, ""TAPA CIEGA natural / negra / blanca"": 658, ""difusora aluminio plata / oro"": 678, ""DIFUSORA PLASTICA negra / gris / humo/ blanca"": 652, ""DISK TOP negra / natural"": 662, ""FLIP TOP blanca / natural / negra"": 717, ""tapa ciega aluminio (N022)"": 678}"
nhp 24.xlsx,B017,RO 125 CRISTAL,468,ro-125-cc-cristal,Ro 125 cc Cristal,1.0,468,No,"{""SPRAY    natural/ negra/blanca"": 842, ""SPRAY ENFUNDADA plata /oro"": 1499, ""CREMA blanca/  negra"": 966, ""CREMA ENFUNDADA plata / oro"": 1555, ""CREMA PREMIUM blanca/negra"": 1028, ""GATILLO MINI trigger negro/blanco"": 1215, ""TAPA CIEGA natural / negra / blanca"": 628, ""difusora aluminio plata / oro"": 648, ""DIFUSORA PLASTICA negra / gris / humo/ blanca"": 622, ""DISK TOP negra / natural"": 632, ""FLIP TOP blanca / natural / negra"": 687, ""tapa ciega aluminio (N022)"": 648}"
nhp 24.xlsx,B018,RO 125 AMBAR,498,ro-125-cc-ambar,Ro 125 cc Ambar,1.0,498,No,"{""SPRAY    natural/ negra/blanca"": 872, ""SPRAY ENFUNDADA plata /oro"": 1529, ""CREMA blanca/  negra"": 996, ""CREMA ENFUNDADA plata / oro"": 1585, ""CREMA PREMIUM blanca/negra"": 1058, ""GATILLO MINI trigger negro/blanco"": 1245, ""TAPA CIEGA natural / negra / blanca"": 658, ""difusora aluminio plata / oro"": 678, ""DIFUSORA PLASTICA negra / gris / humo/ blanca"": 652, ""DISK TOP negra / natural"": 662, ""FLIP TOP blanca / natural / negra"": 717, ""tapa ciega aluminio (N022)"": 678}"
nhp 24.xlsx,B019,RO 125 BLANCO,498,ro-125-cc-blanco,Ro 125 cc Blanco,1.0,498,No,"{""SPRAY    natural/ negra/blanca"": 872, ""SPRAY ENFUNDADA plata /oro"": 1529, ""CREMA blanca/  negra"": 996, ""CREMA ENFUNDADA plata / oro"": 1585, ""CREMA PREMIUM blanca/negra"": 1058, ""GATILLO MINI trigger negro/blanco"": 1245, ""TAPA CIEGA natural / negra / blanca"": 658, ""difusora aluminio plata / oro"": 678, ""DIFUSORA PLASTICA negra / gris / humo/ blanca"": 652, ""DISK TOP negra / natural"": 662, ""FLIP TOP blanca / natural / negra"": 717, ""tapa ciega aluminio (N022)"": 678}"
nhp 24.xlsx,B030,LIFE 125 CRISTAL,435,life-125-cc-cristal,Life 125 cc Cristal,1.0,435,No,"{""SPRAY    natural/ negra/blanca"": 809, ""SPRAY ENFUNDADA plata /oro"": 1466, ""CREMA blanca/  negra"": 933, ""CREMA ENFUNDADA plata / oro"": 1522, ""CREMA PREMIUM blanca/negra"": 995, ""GATILLO MINI trigger negro/blanco"": 1182, ""TAPA CIEGA natural / negra / blanca"": 595, ""difusora aluminio plata / oro"": 615, ""DIFUSORA PLASTICA negra / gris / humo/ blanca"": 589, ""DISK TOP negra / natural"": 599, ""FLIP TOP blanca / natural / negra"": 654, ""tapa ciega aluminio (N022)"": 615}"
nhp 24.xlsx,C022,FLORENCIA QUEEN 125 CRISTAL,468,florencia-queen-125-ml-cristal,Florencia Queen 125 ml Cristal,1.0,468,No,"{""SPRAY    natural/ negra/blanca"": 842, ""SPRAY ENFUNDADA plata /oro"": 1499, ""CREMA blanca/  negra"": 966, ""CREMA ENFUNDADA plata / oro"": 1555, ""CREMA PREMIUM blanca/negra"": 1028, ""GATILLO MINI trigger negro/blanco"": 1215, ""TAPA CIEGA natural / negra / blanca"": 628, ""difusora aluminio plata / oro"": 648, ""DIFUSORA PLASTICA negra / gris / humo/ blanca"": 622, ""DISK TOP negra / natural"": 632, ""FLIP TOP blanca / natural / negra"": 687, ""tapa ciega aluminio (N022)"": 648}"
nhp 24.xlsx,B130,TIMES 125 NAT. SOFT T. ,343,times-125-cc-natural-soft-touch,Times 125 cc Natural Soft Touch,0.833,445,Sí,"{""SPRAY    natural/ negra/blanca"": 717, ""SPRAY ENFUNDADA plata /oro"": 1374, ""CREMA blanca/  negra"": 841, ""CREMA ENFUNDADA plata / oro"": 1430, ""CREMA PREMIUM blanca/negra"": 903, ""GATILLO MINI trigger negro/blanco"": 1090, ""TAPA CIEGA natural / negra / blanca"": 503, ""difusora aluminio plata / oro"": 523, ""DIFUSORA PLASTICA negra / gris / humo/ blanca"": 497, ""DISK TOP negra / natural"": 507, ""FLIP TOP blanca / natural / negra"": 562, ""tapa ciega aluminio (N022)"": 523}"
nhp 24.xlsx,C027,VENECIA 125 FUME,535,venecia-125-cc-fume,Venecia 125 cc Fumé,1.0,535,No,"{""SPRAY    natural/ negra/blanca"": 909, ""SPRAY ENFUNDADA plata /oro"": 1566, ""CREMA blanca/  negra"": 1033, ""CREMA ENFUNDADA plata / oro"": 1622, ""CREMA PREMIUM blanca/negra"": 1095, ""GATILLO MINI trigger negro/blanco"": 1282, ""TAPA CIEGA natural / negra / blanca"": 695, ""difusora aluminio plata / oro"": 715, ""DIFUSORA PLASTICA negra / gris / humo/ blanca"": 689, ""DISK TOP negra / natural"": 699, ""FLIP TOP blanca / natural / negra"": 754, ""tapa ciega aluminio (N022)"": 715}"
nhp 24.xlsx,C039,VENECIA 125 MARRON,535,venecia-125-cc-marron,Venecia 125 cc Marron,1.0,535,No,"{""SPRAY    natural/ negra/blanca"": 909, ""SPRAY ENFUNDADA plata /oro"": 1566, ""CREMA blanca/  negra"": 1033, ""CREMA ENFUNDADA plata / oro"": 1622, ""CREMA PREMIUM blanca/negra"": 1095, ""GATILLO MINI trigger negro/blanco"": 1282, ""TAPA CIEGA natural / negra / blanca"": 695, ""difusora aluminio plata / oro"": 715, ""DIFUSORA PLASTICA negra / gris / humo/ blanca"": 689, ""DISK TOP negra / natural"": 699, ""FLIP TOP blanca / natural / negra"": 754, ""tapa ciega aluminio (N022)"": 715}"
